max_nesting_depth,avg_nesting_depth,auto_count,nullptr_count,template_declaration_count,lambda_count,range_for_count,traditional_for_count,constexpr_count,consteval_count,constinit_count,noexcept_count,structured_binding_count,enum_class_count,override_count,virtual_count,using_alias_count,move_semantics_count,emplace_count,modern_algorithm_count,concept_count,requires_clause_count,if_statement_count,init_if_count,modern_cpp_total,modern_cpp_ratio,new_expression_count,delete_expression_count,smart_ptr_count,smart_ptr_variety,raii_memory_ratio,deleted_function_count,defaulted_function_count,total_include_count,bits_stdc_present,specific_header_count,unique_headers,specific_header_ratio,binary_op_total,binary_op_spaced,binary_op_unspaced,binary_op_mixed,binary_op_spacing_rate,binary_op_nospace_rate,comma_total,comma_spaced,comma_space_rate,decl_spacing_total,decl_spacing_consistency,single_char_var_count,unique_identifier_count,avg_identifier_length,snake_case_count,camel_case_count,pascal_case_count,upper_snake_case_count,naming_consistency,naming_style_uniform,func_naming_consistency,comment_count,perfect_comment_ratio,capitalized_comment_ratio,avg_comment_len,std_comment_len,dead_code_count,interleaved_comment_count,comment_line_count,comment_line_ratio,function_count,class_count,namespace_count,template_count,try_catch_count,catch_count,throw_count,error_handling_present,raii_guard_count,raii_type_variety,const_ref_count,const_method_count,static_assert_count,return_statement_count,ternary_count,goto_count,using_namespace_std,large_array_count,large_array_max_size,define_macro_count,define_shortcut_count,ios_sync_present,cin_tie_present,freopen_present,void_main,competitive_pattern_count,global_var_count,total_lines,total_chars,line_len_mean,line_len_std,line_len_max,nb_line_len_mean,nb_line_len_std,nb_line_len_cv,blank_line_ratio,max_consecutive_blank_lines,tab_indent_lines,space_indent_lines,mixed_indent,indent_width_mode,indent_inconsistency_count,indent_inconsistency_ratio,trailing_whitespace_ratio,brace_same_line_count,brace_next_line_count,brace_style_consistency,cyclomatic_branch_count,avg_cyclomatic_per_function,leaf_nesting_mean,halstead_unique_operators,halstead_unique_operands,halstead_total_operators,halstead_total_operands,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,halstead_bugs_estimate,maintainability_index,ast_node_count,ast_error_count,range_for_ratio,ast_error_ratio,code_density,_file,_path,_label,_chars
2,1.5,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,2,0,1,0,0,1,0,11,0.3333333333333333,0,0,0,0,0.0,0,0,7,False,5,5,0.7142857142857143,0,0,0,0,0.0,0.0,6,6,1.0,6,0.5,2,21,5.7272727272727275,1,2,0,0,0.6666666666666666,False,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,4,1,1,0,1,1,0,True,1,1,1,0,0,6,0,0,False,0,0,0,0,False,False,False,False,0,0,40,1094,26.375,26.89394680964473,98,31.96969696969697,26.41680462461044,0.8263076328077199,0.175,1,0,21,False,2,0,0.0,0.0,5,0,1.0,3,0.75,1.5,2,29,8,78,31,86,426.06,2.69,1145.96,0.142,82.18,386,0,0.0,0.0,0.825,ai_builder_023.cpp,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\dataset_CPP\ai\ai_builder_023.cpp,1,1094
1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0.08333333333333333,0,0,0,0,0.0,0,0,5,False,5,5,1.0,13,13,0,0,1.0,0.0,19,19,1.0,4,0.5,3,24,4.407407407407407,3,2,0,0,0.6,False,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,5,1,1,1,0,0,1,False,0,0,1,0,0,4,0,0,False,0,0,0,0,False,False,False,False,0,0,45,1238,26.533333333333335,26.71462354425215,108,33.166666666666664,25.924570070366325,0.7816453287547637,0.2,1,0,24,False,2,0,0.0,0.0,4,0,1.0,3,0.6,1.0,6,35,29,125,41,154,825.06,10.71,8839.96,0.275,77.34,551,0,0.0,0.0,0.8,ai_buffer_051.cpp,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\dataset_CPP\ai\ai_buffer_051.cpp,1,1238
1,1.0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,12,0.2857142857142857,0,0,0,0,0.0,0,0,3,False,3,3,1.0,0,0,0,0,0.0,0.0,6,6,1.0,0,0.0,0,18,6.0,0,6,1,0,0.8571428571428571,False,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,8,2,0,0,0,0,0,False,0,0,0,3,0,7,0,0,False,0,0,0,0,False,False,False,False,0,0,52,1353,25.03846153846154,24.72849612714164,104,31.0,23.922493897704612,0.7716933515388584,0.19230769230769232,1,0,35,False,2,0,0.0,0.0,5,0,1.0,0,0.0,1.0,2,25,8,109,27,117,556.32,4.36,2425.56,0.1854,77.58,440,0,0.0,0.0,0.8076923076923077,ai_builder_pattern.cpp,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\dataset_CPP\ai\ai_builder_pattern.cpp,1,1353
2,1.1428571428571428,2,0,0,0,1,0,0,0,0,12,0,0,0,2,0,3,0,0,0,0,0,0,18,0.5,0,0,3,1,1.0,2,3,5,False,5,5,1.0,3,3,0,0,1.0,0.0,0,0,0.0,0,0.0,0,16,5.625,1,2,0,0,0.6666666666666666,False,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,11,2,1,0,0,0,0,False,0,0,2,2,0,2,0,0,False,0,0,0,0,False,False,False,False,0,0,48,1049,20.875,22.05450161909506,75,27.833333333333332,21.32747315344955,0.7662565204832174,0.25,1,0,21,False,2,0,0.0,0.0,4,0,1.0,1,0.09090909090909091,1.1428571428571428,3,23,6,60,26,66,310.23,3.91,1213.94,0.1034,82.88,366,0,1.0,0.0,0.75,ai_calculator_015.cpp,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\dataset_CPP\ai\ai_calculator_015.cpp,1,1049
2,1.1666666666666667,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,4,0.10526315789473684,0,0,3,1,1.0,0,1,6,False,6,6,1.0,5,5,0,0,1.0,0.0,1,1,1.0,2,0.5,0,19,6.0,0,1,1,0,0.5,False,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,6,3,1,0,0,0,0,False,0,0,4,2,0,1,0,0,False,0,0,0,0,False,False,False,False,0,0,49,1124,21.959183673469386,23.586539903931087,73,28.31578947368421,23.18132785711027,0.8186714298979464,0.22448979591836735,1,0,19,False,2,0,0.0,0.0,4,0,1.0,1,0.16666666666666666,1.1666666666666667,5,27,11,80,32,91,455.0,7.41,3370.37,0.1517,80.02,389,0,0.0,0.0,0.7755102040816326,ai_breaker_074.cpp,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\dataset_CPP\ai\ai_breaker_074.cpp,1,1124
2,1.5,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,2,0,1,0,0,1,0,11,0.3333333333333333,0,0,0,0,0.0,0,0,7,False,5,5,0.7142857142857143,0,0,0,0,0.0,0.0,6,6,1.0,6,0.5,2,21,5.7272727272727275,1,2,0,0,0.6666666666666666,False,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,4,1,1,0,1,1,0,True,1,1,1,0,0,6,0,0,False,0,0,0,0,False,False,False,False,0,0,40,1094,26.375,26.89394680964473,98,31.96969696969697,26.41680462461044,0.8263076328077199,0.175,1,0,21,False,2,0,0.0,0.0,5,0,1.0,3,0.75,1.5,2,29,8,78,31,86,426.06,2.69,1145.96,0.142,82.18,386,0,0.0,0.0,0.825,ai_cleaner_088.cpp,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\dataset_CPP\ai\ai_cleaner_088.cpp,1,1094
2,1.1428571428571428,2,0,0,0,1,0,0,0,0,12,0,0,0,2,0,3,0,0,0,0,0,0,18,0.5,0,0,3,1,1.0,2,3,5,False,5,5,1.0,3,3,0,0,1.0,0.0,0,0,0.0,0,0.0,0,16,5.0,1,2,0,0,0.6666666666666666,False,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,11,2,1,0,0,0,0,False,0,0,2,2,0,2,0,0,False,0,0,0,0,False,False,False,False,0,0,48,979,19.416666666666668,20.523191488871532,75,25.88888888888889,19.85052165250433,0.766758347092442,0.25,1,0,21,False,2,0,0.0,0.0,4,0,1.0,1,0.09090909090909091,1.1428571428571428,3,23,6,60,26,66,310.23,3.91,1213.94,0.1034,82.88,366,0,1.0,0.0,0.75,ai_cache_040.cpp,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\dataset_CPP\ai\ai_cache_040.cpp,1,979
2,1.1428571428571428,2,0,0,0,1,0,0,0,0,12,0,0,0,2,0,3,0,0,0,0,0,0,18,0.5,0,0,3,1,1.0,2,3,5,False,5,5,1.0,3,3,0,0,1.0,0.0,0,0,0.0,0,0.0,0,16,5.25,1,2,0,0,0.6666666666666666,False,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,11,2,1,0,0,0,0,False,0,0,2,2,0,2,0,0,False,0,0,0,0,False,False,False,False,0,0,48,1007,20.0,21.09601068132709,75,26.666666666666668,20.386542402062965,0.7644953400773611,0.25,1,0,21,False,2,0,0.0,0.0,4,0,1.0,1,0.09090909090909091,1.1428571428571428,3,23,6,60,26,66,310.23,3.91,1213.94,0.1034,82.88,366,0,1.0,0.0,0.75,ai_channel_050.cpp,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\dataset_CPP\ai\ai_channel_050.cpp,1,1007
1,1.0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,1,0,13,0.43333333333333335,0,0,0,0,0.0,0,0,5,False,5,5,1.0,0,0,0,0,0.0,0.0,0,0,0.0,8,0.5,0,19,5.589743589743589,2,0,0,0,1.0,True,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,6,1,0,1,0,0,0,False,3,1,0,2,0,4,0,0,False,0,0,0,0,False,False,False,False,0,0,37,905,23.486486486486488,21.16169617380705,71,28.966666666666665,19.83848672544243,0.6848729594514072,0.1891891891891892,1,0,20,False,2,0,0.0,0.0,3,0,1.0,1,0.16666666666666666,1.0,1,26,8,70,27,78,370.88,1.35,499.26,0.1236,84.91,346,0,0.0,0.0,0.8108108108108109,ai_catalog_042.cpp,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\dataset_CPP\ai\ai_catalog_042.cpp,1,905
2,1.1428571428571428,2,0,0,0,1,0,0,0,0,12,0,0,0,2,0,3,0,0,0,0,0,0,18,0.5,0,0,3,1,1.0,2,3,5,False,5,5,1.0,3,3,0,0,1.0,0.0,0,0,0.0,0,0.0,0,16,5.5,1,2,0,0,0.6666666666666666,False,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,11,2,1,0,0,0,0,False,0,0,2,2,0,2,0,0,False,0,0,0,0,False,False,False,False,0,0,48,1035,20.583333333333332,21.722524152491015,75,27.444444444444443,20.99661936339653,0.7650590051440032,0.25,1,0,21,False,2,0,0.0,0.0,4,0,1.0,1,0.09090909090909091,1.1428571428571428,3,23,6,60,26,66,310.23,3.91,1213.94,0.1034,82.88,366,0,1.0,0.0,0.75,ai_compactor_080.cpp,C:\Users\ad\Downloads\codepython\project\fraud_detection_system\dataset_CPP\ai\ai_compactor_080.cpp,1,1035
